token,attribution,model
summary,1.0711074e-09,Pure Semantic
##7,-6.3208355e-10,Pure Semantic
+,-1.9582116e-09,Pure Semantic
years,1.5469598e-10,Pure Semantic
of,-1.8232835e-09,Pure Semantic
experience,8.346257e-11,Pure Semantic
as,-4.6419403e-11,Pure Semantic
a,-2.6369176e-10,Pure Semantic
bi,3.6265912e-10,Pure Semantic
developer,-2.14605e-09,Pure Semantic
with,-1.1039348e-09,Pure Semantic
a,-8.9311847e-10,Pure Semantic
proven,-3.241171e-09,Pure Semantic
track,-1.3242214e-09,Pure Semantic
record,-2.4769968e-09,Pure Semantic
in,-1.4032956e-09,Pure Semantic
business,-7.012305e-10,Pure Semantic
intelligence,-3.768579e-09,Pure Semantic
(,-9.330612e-10,Pure Semantic
bi,-5.5113425e-09,Pure Semantic
),1.1927221e-09,Pure Semantic
",",-9.635304e-10,Pure Semantic
data,-1.3575563e-09,Pure Semantic
warehouse,-1.9022885e-09,Pure Semantic
(,-3.8122253e-10,Pure Semantic
d,-2.378807e-09,Pure Semantic
##w,-2.7477276e-10,Pure Semantic
##h,-3.639561e-10,Pure Semantic
),1.07123116e-10,Pure Semantic
and,-3.7930967e-10,Pure Semantic
data,1.3309487e-10,Pure Semantic
analytics,9.2515373e-10,Pure Semantic
related,2.0936397e-10,Pure Semantic
consulting,4.3902326e-10,Pure Semantic
projects,1.8570557e-09,Pure Semantic
.,1.5250397e-09,Pure Semantic
proven,1.6853519e-11,Pure Semantic
ability,-5.540336e-10,Pure Semantic
to,-7.4736384e-10,Pure Semantic
identify,-3.6495668e-10,Pure Semantic
business,7.8224366e-10,Pure Semantic
needs,-5.6423044e-10,Pure Semantic
and,1.05398426e-10,Pure Semantic
develop,1.8123075e-10,Pure Semantic
valuable,2.1273416e-10,Pure Semantic
solutions,-4.9773563e-10,Pure Semantic
to,-8.620746e-11,Pure Semantic
drive,-4.812496e-10,Pure Semantic
accuracy,-1.2123297e-10,Pure Semantic
and,-7.0702977e-10,Pure Semantic
process,1.00968234e-10,Pure Semantic
efficiency,7.8279583e-10,Pure Semantic
.,1.8545552e-09,Pure Semantic
experienced,5.074501e-10,Pure Semantic
in,7.676768e-10,Pure Semantic
developing,3.7744724e-10,Pure Semantic
",",1.37041e-10,Pure Semantic
implementing,2.3285873e-10,Pure Semantic
",",4.0402107e-10,Pure Semantic
documenting,-9.370332e-11,Pure Semantic
",",3.8728187e-11,Pure Semantic
monitoring,-2.6909894e-10,Pure Semantic
and,-3.1084152e-10,Pure Semantic
maintaining,-8.670861e-10,Pure Semantic
the,3.6499817e-10,Pure Semantic
data,9.352226e-10,Pure Semantic
warehouse,3.5937292e-10,Pure Semantic
extracts,-2.3137714e-10,Pure Semantic
",",3.1431643e-10,Pure Semantic
transformations,1.4294932e-10,Pure Semantic
and,4.0265474e-10,Pure Semantic
et,-5.8821203e-10,Pure Semantic
##l,7.0797845e-10,Pure Semantic
process,-3.0855857e-10,Pure Semantic
in,-2.8155173e-11,Pure Semantic
various,2.9009023e-10,Pure Semantic
industries,-2.1174701e-10,Pure Semantic
like,4.5047943e-10,Pure Semantic
financial,1.4156809e-10,Pure Semantic
",",5.4719396e-10,Pure Semantic
health,-2.179726e-09,Pure Semantic
care,-1.3798602e-09,Pure Semantic
and,-5.063871e-10,Pure Semantic
retail,-1.4037511e-09,Pure Semantic
industry,-5.6182564e-10,Pure Semantic
